Date,Price,Regime,Regime_Mean
2010-01-04,79.05,1,102.70945227967205
2010-01-05,79.27,1,102.70945227967205
2010-01-06,80.14,1,102.70945227967205
2010-01-07,80.57,1,102.70945227967205
2010-01-08,80.06,1,102.70945227967205
2010-01-11,80.14,1,102.70945227967205
2010-01-12,79.38,1,102.70945227967205
2010-01-13,77.57,1,102.70945227967205
2010-01-14,77.61,1,102.70945227967205
2010-01-15,76.85,1,102.70945227967205
2010-01-19,75.18,1,102.70945227967205
2010-01-20,75.09,1,102.70945227967205
2010-01-21,74.13,1,102.70945227967205
2010-01-22,72.73,1,102.70945227967205
2010-01-25,72.18,1,102.70945227967205
2010-01-26,72.63,1,102.70945227967205
2010-01-27,72.75,1,102.70945227967205
2010-01-28,70.65,1,102.70945227967205
2010-01-29,71.2,1,102.70945227967205
2010-02-01,71.58,1,102.70945227967205
2010-02-02,73.94,1,102.70945227967205
2010-02-03,75.77,1,102.70945227967205
2010-02-04,71.3,1,102.70945227967205
2010-02-05,70.11,1,102.70945227967205
2010-02-08,69.62,1,102.70945227967205
2010-02-09,70.4,1,102.70945227967205
2010-02-10,70.4,1,102.70945227967205
2010-02-11,72.35,1,102.70945227967205
2010-02-12,71.49,1,102.70945227967205
2010-02-16,74.82,1,102.70945227967205
2010-02-17,74.89,1,102.70945227967205
2010-02-18,76.61,1,102.70945227967205
2010-02-19,76.88,1,102.70945227967205
2010-02-22,76.95,1,102.70945227967205
2010-02-23,76.44,1,102.70945227967205
2010-02-24,77.0,1,102.70945227967205
2010-02-25,74.38,1,102.70945227967205
2010-02-26,76.36,1,102.70945227967205
2010-03-01,76.07,1,102.70945227967205
2010-03-02,77.5,1,102.70945227967205
2010-03-03,78.66,1,102.70945227967205
2010-03-04,77.88,1,102.70945227967205
2010-03-05,79.2,1,102.70945227967205
2010-03-08,78.94,1,102.70945227967205
2010-03-09,78.77,1,102.70945227967205
2010-03-10,80.29,1,102.70945227967205
2010-03-11,79.44,1,102.70945227967205
2010-03-12,79.38,1,102.70945227967205
2010-03-15,77.08,1,102.70945227967205
2010-03-16,79.45,1,102.70945227967205
2010-03-17,80.28,1,102.70945227967205
2010-03-18,80.09,1,102.70945227967205
2010-03-19,78.37,1,102.70945227967205
2010-03-22,78.09,1,102.70945227967205
2010-03-23,79.17,1,102.70945227967205
2010-03-24,78.03,1,102.70945227967205
2010-03-25,78.64,1,102.70945227967205
2010-03-26,77.98,1,102.70945227967205
2010-03-29,79.89,1,102.70945227967205
2010-03-30,79.46,1,102.70945227967205
2010-03-31,80.37,1,102.70945227967205
2010-04-01,82.63,1,102.70945227967205
2010-04-05,84.48,1,102.70945227967205
2010-04-06,85.05,1,102.70945227967205
2010-04-07,84.49,1,102.70945227967205
2010-04-08,82.63,1,102.70945227967205
2010-04-09,82.77,1,102.70945227967205
2010-04-12,85.21,1,102.70945227967205
2010-04-13,83.44,1,102.70945227967205
2010-04-14,85.81,1,102.70945227967205
2010-04-15,86.9,1,102.70945227967205
2010-04-16,84.81,1,102.70945227967205
2010-04-19,83.09,1,102.70945227967205
2010-04-20,84.73,1,102.70945227967205
2010-04-21,84.55,1,102.70945227967205
2010-04-22,84.58,1,102.70945227967205
2010-04-23,86.09,1,102.70945227967205
2010-04-26,86.72,1,102.70945227967205
2010-04-27,85.59,1,102.70945227967205
2010-04-28,84.59,1,102.70945227967205
2010-04-29,86.82,1,102.70945227967205
2010-04-30,86.19,1,102.70945227967205
2010-05-03,88.09,1,102.70945227967205
2010-05-04,85.39,1,102.70945227967205
2010-05-05,82.31,1,102.70945227967205
2010-05-06,80.21,1,102.70945227967205
2010-05-07,76.48,1,102.70945227967205
2010-05-10,78.08,1,102.70945227967205
2010-05-11,79.0,1,102.70945227967205
2010-05-12,78.7,1,102.70945227967205
2010-05-13,79.41,1,102.70945227967205
2010-05-14,76.43,1,102.70945227967205
2010-05-17,73.87,1,102.70945227967205
2010-05-18,75.12,1,102.70945227967205
2010-05-19,71.86,1,102.70945227967205
2010-05-20,69.56,1,102.70945227967205
2010-05-21,70.45,1,102.70945227967205
2010-05-24,69.62,1,102.70945227967205
2010-05-25,67.18,1,102.70945227967205
2010-05-26,70.59,1,102.70945227967205
2010-05-27,73.56,1,102.70945227967205
2010-05-28,73.0,1,102.70945227967205
2010-06-01,73.08,1,102.70945227967205
2010-06-02,72.78,1,102.70945227967205
2010-06-03,73.12,1,102.70945227967205
2010-06-04,71.84,1,102.70945227967205
2010-06-07,71.09,1,102.70945227967205
2010-06-08,71.43,1,102.70945227967205
2010-06-09,73.68,1,102.70945227967205
2010-06-10,74.33,1,102.70945227967205
2010-06-11,73.28,1,102.70945227967205
2010-06-14,75.11,1,102.70945227967205
2010-06-15,75.29,1,102.70945227967205
2010-06-16,76.12,1,102.70945227967205
2010-06-17,77.52,1,102.70945227967205
2010-06-18,77.05,1,102.70945227967205
2010-06-21,78.53,1,102.70945227967205
2010-06-22,78.08,1,102.70945227967205
2010-06-23,75.22,1,102.70945227967205
2010-06-24,75.17,1,102.70945227967205
2010-06-25,76.21,1,102.70945227967205
2010-06-28,76.66,1,102.70945227967205
2010-06-29,74.21,1,102.70945227967205
2010-06-30,74.94,1,102.70945227967205
2010-07-01,71.73,1,102.70945227967205
2010-07-02,71.75,1,102.70945227967205
2010-07-06,73.08,1,102.70945227967205
2010-07-07,72.97,1,102.70945227967205
2010-07-08,74.56,1,102.70945227967205
2010-07-09,75.2,1,102.70945227967205
2010-07-12,74.35,1,102.70945227967205
2010-07-13,76.45,1,102.70945227967205
